Name,Platform,Year,Genre,Publisher,Global Sales (m$),Remarks
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.22,"The best edutainment puzzle video game. 
Designed to help keep certain parts of the brain active."
Super Mario World,SNES,1990,Platform,Nintendo,20.61,"Worldwide acknowledged super IP: Mario Brothers. 
Cited as the greatest video game ever made."
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,"There is no more thriller when playing a villain in a real world. 
Unique and Classical."
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.4,"There is no more thriller when playing a villain in a real world. 
Unique and Classical."
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.82,"Another new era of sensoring whole-body movement 
using Xbox 360 camera and analyzing techniques."
Wii Fit Plus,Wii,2009,Sports,Nintendo,22,"Utilizing movement sensoring, 
Players can do all kinds of workout at home."
Wii Fit,Wii,2007,Sports,Nintendo,22.72,"Utilizing movement sensoring, 
Players can do all kinds of workout at home."
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,23.1,"The most profitable IP all over the world with tens of millions of fans. 
Second version of the game."
Mario Kart DS,DS,2005,Racing,Nintendo,23.42,Remade version of Mario Kart released in 1992.
Nintendogs,DS,2005,Simulation,Nintendo,24.76,"First real-time pet simulation video game. 
Interactions are made possible using touch screen and microphone."
Duck Hunt,NES,1984,Shooter,Nintendo,28.31,"Classical light gun shooter video game. 
Is equipped with NES zapper, a gun-shaped game controller."
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.62,"Worldwide acknowledged super IP: Mario Brothers 
+ introduction of movement sensor."
Wii Play,Wii,2006,Misc,Nintendo,29.02,Compilation of small games which can be played with Wii controllers.
New Super Mario Bros.,DS,2006,Platform,Nintendo,30.01,"Remade version of Super Mario Bros, 
combining the new portable device Nintendo DS."
Tetris,GB,1989,Puzzle,Nintendo,30.26,The most renowned puzzle game all over the world.
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,31.37,"The most profitable IP all over the world with tens of millions of fans. 
Was groundbreaking introducing a new RPG genre."
Wii Sports Resort,Wii,2009,Sports,Nintendo,33,"Make video games usher into a new era by introducing 
and utilizing Wii movement sensor. 2nd version of the game."
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.82,"Worldwide acknowledged super IP: Mario Brothers 
+ introduction of movement sensor"
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24,Worldwide acknowledged super IP: Mario Brothers
Wii Sports,Wii,2006,Sports,Nintendo,82.74,"Make video games usher into a new era by introducing 
and utilizing Wii movement sensor."